episode,scenario,timesteps,reward,distance,collision,pedestrian_collision,blocker_collision,wall_collision,dilemma_decision,pedestrians_hit,episode_outcome,collision_actor_type
745,Scenario02,987,-416.61,27.00,True,True,False,False,left_one,1,left_one,walker.pedestrian.0010
746,Scenario02,1039,-901.63,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0014
747,Scenario02,1046,-910.05,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0010
748,Scenario02,1019,-599.76,16.00,True,False,False,True,none,0,wall_collision,static.vegetation
749,Scenario02,819,-599.79,14.00,True,False,False,True,none,0,wall_collision,static.pole
750,Scenario02,1136,-900.62,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0002
751,Scenario02,1099,-599.67,22.00,True,False,False,True,none,0,wall_collision,static.fence
752,Scenario02,1254,-902.08,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0004
753,Scenario02,1075,-900.52,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0005
754,Scenario02,1020,-603.30,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
755,Scenario02,1028,-599.62,25.00,True,False,False,True,none,0,wall_collision,static.fence
756,Scenario02,1062,-900.08,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0014
757,Scenario02,1016,-611.20,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
758,Scenario02,1141,-602.52,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
759,Scenario02,1144,-899.10,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0003
760,Scenario02,1168,-605.15,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
761,Scenario02,1293,-600.25,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
762,Scenario02,864,-599.76,16.00,True,False,False,True,none,0,wall_collision,static.vegetation
763,Scenario02,1087,-901.63,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0007
764,Scenario02,1026,-602.47,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
765,Scenario02,1039,-602.05,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
766,Scenario02,1181,-603.49,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
767,Scenario02,1009,-602.53,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
768,Scenario02,763,-599.79,14.00,True,False,False,True,none,0,wall_collision,static.fence
769,Scenario02,920,-901.13,28.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0014
770,Scenario02,653,-599.80,13.00,True,False,False,True,none,0,wall_collision,static.pole
771,Scenario02,1085,-603.56,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
772,Scenario02,1171,-907.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0005
