episode,scenario,timesteps,reward,distance,collision,pedestrian_collision,blocker_collision,wall_collision,dilemma_decision,pedestrians_hit,episode_outcome,collision_actor_type
513,Scenario02,1127,-603.97,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
514,Scenario02,1044,-601.58,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
515,Scenario02,1180,-603.02,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
516,Scenario02,683,-619.63,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
517,Scenario02,601,-618.33,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
518,Scenario02,1251,-899.97,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0007
519,Scenario02,1036,-610.52,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
520,Scenario02,1189,-604.22,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
521,Scenario02,1075,-901.62,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0003
522,Scenario02,1074,-609.87,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
523,Scenario02,1156,-602.16,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
524,Scenario02,977,-613.22,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
