episode,timesteps,reward,distance,collision,pedestrian_collision
1,438,-200.00,7.00,True,True
2,451,-200.00,7.00,True,True
3,410,-200.00,7.00,True,True
4,380,-200.00,7.00,True,True
5,361,-200.00,7.00,True,True
6,393,-200.00,7.00,True,True
7,392,-200.00,7.00,True,True
8,429,-200.00,7.00,True,True
9,413,-200.00,7.00,True,True
10,416,-200.00,7.00,True,True
11,387,-200.00,7.00,True,True
12,389,-200.00,7.00,True,True
13,388,-200.00,7.00,True,True
14,375,-200.00,7.00,True,True
15,405,-200.00,7.00,True,True
16,398,-200.00,7.00,True,True
17,413,-200.00,7.00,True,True
18,375,-200.00,7.00,True,True
19,386,-200.00,7.00,True,True
20,375,-200.00,7.00,True,True
21,429,-200.00,7.00,True,True
22,404,-200.00,7.00,True,True
23,423,-200.00,7.00,True,True
24,386,-200.00,7.00,True,True
25,403,-200.00,7.00,True,True
26,402,-200.00,7.00,True,True
27,418,-200.00,7.00,True,True
28,388,-200.00,7.00,True,True
29,424,-200.00,7.00,True,True
30,398,-200.00,7.00,True,True
