episode,timesteps,reward,distance,collision,pedestrian_collision
1,418,-200.00,7.00,True,True
2,431,-200.00,7.00,True,True
3,404,-200.00,7.00,True,True
4,382,-200.00,7.00,True,True
5,378,-200.00,7.00,True,True
6,418,-200.00,7.00,True,True
7,387,-200.00,7.00,True,True
8,423,-200.00,7.00,True,True
9,403,-200.00,7.00,True,True
10,421,-200.00,7.00,True,True
11,394,-200.00,7.00,True,True
12,410,-200.00,7.00,True,True
13,383,-200.00,7.00,True,True
14,413,-200.00,7.00,True,True
15,389,-200.00,7.00,True,True
16,430,-200.00,7.00,True,True
17,392,-200.00,7.00,True,True
18,432,-200.00,7.00,True,True
19,403,-200.00,7.00,True,True
20,425,-200.00,7.00,True,True
21,400,-200.00,7.00,True,True
22,447,-200.00,7.00,True,True
23,411,-200.00,7.00,True,True
24,441,-200.00,7.00,True,True
25,413,-200.00,7.00,True,True
26,440,-200.00,7.00,True,True
27,404,-200.00,7.00,True,True
28,433,-200.00,7.00,True,True
29,427,-200.00,7.00,True,True
30,443,-200.00,7.00,True,True
31,410,-200.00,7.00,True,True
32,435,-200.00,7.00,True,True
33,405,-200.00,7.00,True,True
34,435,-200.00,7.00,True,True
35,405,-200.00,7.00,True,True
36,423,-200.00,7.00,True,True
37,409,-200.00,7.00,True,True
38,421,-200.00,7.00,True,True
39,387,-200.00,7.00,True,True
40,405,-200.00,7.00,True,True
41,380,-200.00,7.00,True,True
