episode,timesteps,reward,distance,collision,pedestrian_collision
1,401,-200.00,7.00,True,True
2,423,-200.00,7.00,True,True
3,402,-200.00,7.00,True,True
4,419,-200.00,7.00,True,True
5,380,-200.00,7.00,True,True
6,416,-200.00,7.00,True,True
7,387,-200.00,7.00,True,True
8,417,-200.00,7.00,True,True
9,407,-200.00,7.00,True,True
10,424,-200.00,7.00,True,True
11,380,-200.00,7.00,True,True
12,407,-200.00,7.00,True,True
13,362,-200.00,7.00,True,True
14,397,-200.00,7.00,True,True
15,380,-200.00,7.00,True,True
16,424,-200.00,7.00,True,True
17,387,-200.00,7.00,True,True
18,409,-200.00,7.00,True,True
19,379,-200.00,7.00,True,True
20,395,-200.00,7.00,True,True
21,392,-200.00,7.00,True,True
22,429,-200.00,7.00,True,True
23,340,-200.00,7.00,True,True
24,413,-200.00,7.00,True,True
25,371,-200.00,7.00,True,True
26,412,-200.00,7.00,True,True
27,391,-200.00,7.00,True,True
28,422,-200.00,7.00,True,True
29,379,-200.00,7.00,True,True
30,420,-200.00,7.00,True,True
31,392,-200.00,7.00,True,True
32,431,-200.00,7.00,True,True
33,1614,-10.00,62.00,False,False
34,428,-200.00,7.00,True,True
35,397,-200.00,7.00,True,True
36,427,-200.00,7.00,True,True
37,389,-200.00,7.00,True,True
38,412,-200.00,7.00,True,True
39,375,-200.00,7.00,True,True
40,438,-200.00,7.00,True,True
